Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
NATHAN MACKINNONF,NATHAN MACKINNON,F,mistake,COL,0.699716518,1.772187091,1072.983333333,-0.722905556,1.050320173,0.909405744,-0.176604357,234.05,0.385439527,20212022,-0.000390587,3.5,0.000536857,0.209689225,1310.533333333,3.217988892
SEBASTIAN AHOF,SEBASTIAN AHO,F,mistake,CAR,0.150916465,0.426580248,1046.533333333,-0.066645276,0.982335483,0.313316467,0.817906061,232.533333333,0.633187852,20212022,-0.189968935,147.833333333,0.294041099,0.162400002,1426.9,3.210753000
SIDNEY CROSBYF,SIDNEY CROSBY,F,mistake,PIT,-0.211782321,0.572834022,1099.200000000,-0.016790872,1.602131087,-0.051469346,0.342105337,226.433333333,0.746189967,20212022,0,6.15,0.002302020,0.160312975,1331.783333333,3.197302216
AARON EKBLADD,AARON EKBLAD,D,mistake,FLA,-0.137628632,1.131234129,1091.733333333,0.704984454,0.551569870,0.252948537,0.097200336,214.516666667,0.428363506,20212022,-0.085113097,166.833333333,0.052985707,0.390577170,1473.083333333,3.134173443
CLAUDE GIROUXF,CLAUDE GIROUX,F,mistake,PHI/FLA,0.143409355,0.837008699,1070.95,0.368021507,1.048568743,0.461342071,0.208425536,238.150000000,0.342292186,20212022,-0.077883247,60.666666667,-0.063122175,0.317932716,1369.766666667,3.124653321
BRAD MARCHANDF,BRAD MARCHAND,F,mistake,BOS,0.361624106,1.049706424,931.433333333,0.289754524,0.990720711,0.050704753,0.305098175,241.133333333,0.135068189,20212022,0.199447605,112.7,0.090142538,-0.310919353,1285.266666667,3.110642919
CLAYTON KELLERF,CLAYTON KELLER,F,mistake,ARI,0.141679551,1.942755845,1035.6,-0.224126835,0.724700948,0.421406246,0.204880124,188.25,0.123057842,20212022,-0.000726752,77.783333333,-0.090386184,0.279726695,1301.633333333,3.101561233
CHARLIE MCAVOYD,CHARLIE MCAVOY,D,mistake,BOS,0.276226042,-0.072336607,1438.800000000,1.340639482,0.979868681,0.412089993,0.442324988,244.516666667,0.105528673,20212022,-0.000538295,165.783333333,-0.121972017,0.135863951,1849.100000000,3.085604899
PATRICE BERGERONF,PATRICE BERGERON,F,mistake,BOS,-0.249958287,0.486134529,919.733333333,1.010360741,1.298677279,-0.105213355,-0.237528198,223.25,0.692359031,20212022,-0.140457155,118.633333333,0.047161795,0.144744933,1261.616666667,3.051494667
MIKA ZIBANEJADF,MIKA ZIBANEJAD,F,mistake,NYR,-0.315581257,0.376198393,1145.316666667,0.000753829,0.399663182,0.316960327,1.173020810,239.783333333,0.561381895,20212022,0.032179883,144.316666667,0.168187617,0.632541585,1529.416666667,3.028345937
