Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
BRAYDEN POINTF,BRAYDEN POINT,F,mistake,T.B,-0.106749408,1.021395781,723.1,-0.260536324,0.860441973,0.280545518,0.215270279,167.483333333,0.434015951,20212022,0,0.783333333,2.990820187e-05,0.387294927,891.366666667,2.551163087
ROOPE HINTZF,ROOPE HINTZ,F,mistake,DAL,-0.126288918,0.454925775,797.016666667,0.054637431,0.647007314,0.111501733,0.581378243,151.5,0.288337475,20212022,0.255126999,77.633333333,0.143659495,0.237790652,1026.15,2.536574466
CLAYTON KELLERF,CLAYTON KELLER,F,mistake,ARI,0.123724156,1.976653223,954.4,-0.444449981,0.708670711,0.342515611,0.097874618,170.3,-0.066731989,20212022,0.003527590,68.266666667,-0.083079870,0.218791455,1192.966666667,2.534979913
MATS ZUCCARELLOF,MATS ZUCCARELLO,F,mistake,MIN,0.005076749,1.530186001,755.866666667,-0.017029931,0.328314678,0.295259483,0.152500822,157.933333333,0.204310148,20212022,0,5.083333333,0.001353969,0.290182734,918.883333333,2.494895170
CARTER VERHAEGHEF,CARTER VERHAEGHE,F,mistake,FLA,-0.097166043,1.677210090,878.883333333,0.043394828,1.353446368,-0.340638253,-0.165438820,69.233333333,-0.045754343,20212022,-0.019833998,22.583333333,-0.009335912,-0.243472210,970.7,2.493049960
BRAD MARCHANDF,BRAD MARCHAND,F,mistake,BOS,0.201474404,0.740118686,692.983333333,0.268334988,0.454246495,-0.073848450,0.624689618,169.433333333,0.105578599,20212022,0.250842892,84.933333333,0.119822955,-0.275322855,947.35,2.489785783
BRANDON HAGELF,BRANDON HAGEL,F,mistake,CHI/T.B,0.139569392,1.761234251,756.066666667,-0.194444656,0.146750637,0.408855039,0.440150324,109.7,-0.121824961,20212022,-0.077834384,82.75,0.111655484,0.269285647,948.516666667,2.474541734
TAGE THOMPSONF,TAGE THOMPSON,F,mistake,BUF,-0.105903724,1.411920263,825.933333333,-0.360932727,0.497382476,0.280204947,0.378804024,151.033333333,0.063537268,20212022,0.148966883,46.083333333,0.052466320,0.386108671,1023.05,2.472349453
MICHAEL BUNTINGF,MICHAEL BUNTING,F,mistake,TOR,0.514824077,0.972392111,873.566666667,0.057124902,0.838998129,0.521389605,0.040388837,74.333333333,0.021551751,20212022,0,0.400000000,-2.677814922e-05,0.006565528,948.3,2.451818557
ELIAS PETTERSSONF,ELIAS PETTERSSON,F,mistake,VAN,0.389869655,-0.035087401,865.8,-0.229780093,0.567858536,0.887782603,0.496518043,199.6,0.579648664,20212022,0.152593726,23.233333333,0.007151621,0.497912948,1088.633333333,2.426685698
PATRICE BERGERONF,PATRICE BERGERON,F,mistake,BOS,-0.143083486,0.246086761,727.066666667,0.798882293,0.898198522,-0.077470925,-0.105541567,169.416666667,0.608991889,20212022,-0.103894477,90.216666667,0.151493832,0.065612561,986.7,2.416746329
GABRIEL LANDESKOGF,GABRIEL LANDESKOG,F,mistake,COL,-0.145613246,1.431646937,788.000000000,0.295758726,-0.063694354,-0.264870166,0.191785819,199.95,0.805004080,20212022,0,3.566666667,-0.000113109,-0.119256920,991.516666667,2.395517933
ADAM FOXD,ADAM FOX,D,mistake,NYR,0.104047510,0.696531808,1092.9,0.146932678,0.758725577,0.497112484,-0.224648215,183.15,0.363014745,20212022,0.144240646,129.65,-0.011432658,0.393064975,1405.7,2.370477064
