Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/552662/cedric-eggerCedric Egger2022,Cedric Egger,Unsigned,D,u20-elit,Davos U20,2022,2,19.43,0.55,1.16,0.11%,0.13%
https://www.eliteprospects.com/player/797026/stepan-gavrilovStepan Gavrilov2022,Stepan Gavrilov,Unsigned,F,vhl,Zauralie Kurgan,2022,1,18.85,,0.67,0.11%,0.14%
https://www.eliteprospects.com/player/658206/jake-svenddalJake Svenddal2022,Jake Svenddal,Unsigned,D,ushs-mn,Blake School,2022,0,17.76,1.87,1.76,0.11%,0.26%
https://www.eliteprospects.com/player/563484/juuso-nykanenJuuso Nykanen2022,Juuso Nykanen,Unsigned,F,mestis,Hermes,2022,0,17.93,2.92,1.9,0.11%,0.35%
https://www.eliteprospects.com/player/665935/yegor-belovYegor Belov2022,Yegor Belov,Unsigned,F,nmhl,Tverichi Tver,2022,2,19.43,2.26,3.13,0.11%,0.09%
https://www.eliteprospects.com/player/456923/john-jaworskiJohn Jaworski2022,John Jaworski,Unsigned,F,ncaa,Sacred Heart Univ.,2022,4,21.49,,7.3,0.11%,0.08%
https://www.eliteprospects.com/player/623744/logan-dosanLogan Dosan2022,Logan Dosan,Unsigned,D,ushs-mn,Bloomington Kennedy High,2022,0,17.89,1.4,2.25,0.11%,0.27%
https://www.eliteprospects.com/player/516637/jordan-grillJordan Grill2022,Jordan Grill,Unsigned,D,sjhl,Battlefords North Stars,2022,0,17.37,,1.69,0.11%,0.41%
https://www.eliteprospects.com/player/529808/jason-spizawkaJason Spizawka2022,Jason Spizawka,Unsigned,D,whl,Victoria Royals,2022,0,17.66,1.83,1.83,0.11%,0.35%
https://www.eliteprospects.com/player/506339/kellan-hjartarsonKellan Hjartarson2022,Kellan Hjartarson,Unsigned,F,bchl,Cranbrook Bucks,2022,1,18.56,0.98,4.38,0.11%,0.25%
https://www.eliteprospects.com/player/323451/jan-dluhosJan Dluhos2022,Jan Dluhos,Unsigned,D,"czech, czech u18, czech2","Berani Zlin, Berani Zlin U18, HC Zubr Prerov",2022,4,21.65,1.91,1.94,0.11%,0.07%
https://www.eliteprospects.com/player/586989/daniil-sobeninDaniil Sobenin2022,Daniil Sobenin,Unsigned,D,mhl,Chaika Nizhny Novgorod,2022,2,19.53,1.32,0.51,0.11%,0.05%
https://www.eliteprospects.com/player/707868/ilya-barsukovIlya Barsukov2022,Ilya Barsukov,Unsigned,F,mhl,Sputnik Almetievsk,2022,0,17.12,,2.83,0.11%,0.35%
https://www.eliteprospects.com/player/636416/brody-hardacreBrody Hardacre2022,Brody Hardacre,Unsigned,D,ushs-mn,Richfield/Southwest Christian,2022,0,17.74,2.44,1.69,0.11%,0.51%
https://www.eliteprospects.com/player/653602/oskar-strombergOskar Stromberg2022,Oskar Stromberg,Unsigned,D,"j18-div.1, division-2, j20-div.1","IFK Tumba J18, IFK Tumba, IFK Tumba J20",2022,0,17.59,1.01,1.34,0.11%,0.27%
https://www.eliteprospects.com/player/410703/giovanni-perilloGiovanni Perillo2022,Giovanni Perillo,Unsigned,F,"usphl-premier, nojhl","Florida Jr. Blades, Espanola Express",2022,3,20.31,0.83,1.94,0.11%,0.37%
